loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,target
37.0,8.0,1.0,4.0,99.0,475.93,0.09,11.65,40.86,5543.16,0.16,307.95,24.0,4.0,7.0,0.0,11.0,17.0,63.0,36.0,15.0,yes
41.0,7.0,1.0,6.0,93.0,473.13,0.06,18.0,26.29,8516.41,0.16,473.13,33.0,2.0,3.0,1.0,18.0,16.0,61.0,32.0,13.0,no
39.0,4.0,1.0,2.0,83.0,429.1,0.05,19.0,22.58,8152.97,0.14,452.94,29.0,1.0,7.0,0.0,19.0,17.0,49.0,34.0,7.0,no
24.0,1.0,1.0,1.0,40.0,175.69,0.19,5.23,33.59,919.01,0.06,51.06,13.0,2.0,7.0,0.0,8.0,13.0,23.0,17.0,1.0,yes
37.0,2.0,1.0,2.0,75.0,343.87,0.1,10.5,32.75,3610.66,0.11,200.59,26.0,5.0,5.0,0.0,7.0,17.0,24.0,51.0,3.0,yes
230.0,33.0,10.0,16.0,575.0,3732.82,0.03,39.82,93.74,148644.06,1.24,8258.0,174.0,15.0,34.0,5.0,23.0,67.0,343.0,232.0,65.0,yes
143.0,14.0,6.0,10.0,364.0,2260.24,0.04,25.05,90.25,56608.76,0.75,3144.93,105.0,14.0,21.0,1.0,19.0,55.0,219.0,145.0,27.0,yes
139.0,32.0,16.0,10.0,426.0,2677.58,0.04,24.66,108.56,66039.69,0.89,3668.87,118.0,1.0,16.0,1.0,17.0,61.0,249.0,177.0,63.0,yes
4.0,1.0,1.0,1.0,9.0,25.27,0.33,3.0,8.42,75.8,0.01,4.21,2.0,0.0,0.0,0.0,6.0,1.0,8.0,1.0,1.0,no
4.0,1.0,1.0,1.0,6.0,15.51,0.4,2.5,6.2,38.77,0.01,2.15,2.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,1.0,no
20.0,3.0,1.0,2.0,46.0,208.08,0.13,7.79,26.71,1621.32,0.07,90.07,15.0,0.0,3.0,0.0,11.0,12.0,29.0,17.0,5.0,no
4.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,2.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,no
4.0,1.0,1.0,1.0,6.0,15.51,0.4,2.5,6.2,38.77,0.01,2.15,2.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,1.0,no
5.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,1.0,no
17.0,4.0,1.0,2.0,69.0,320.43,0.11,9.33,34.33,2990.64,0.11,166.15,18.0,1.0,0.0,0.0,7.0,12.0,25.0,20.0,7.0,no
74.0,12.0,4.0,5.0,193.0,1135.35,0.05,19.92,57.0,22614.95,0.38,1256.39,56.0,5.0,8.0,0.0,22.0,37.0,126.0,67.0,19.0,no
3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no
4.0,1.0,1.0,1.0,33.0,137.61,0.15,6.5,21.17,894.45,0.05,49.69,4.0,1.0,0.0,1.0,4.0,6.0,7.0,6.0,1.0,no
72.0,4.0,1.0,4.0,162.0,879.05,0.05,19.85,44.28,17450.87,0.29,969.49,53.0,1.0,16.0,0.0,16.0,27.0,95.0,67.0,7.0,yes
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,no
13.0,2.0,1.0,2.0,18.0,66.61,0.18,5.6,11.89,373.0,0.02,20.72,8.0,0.0,1.0,0.0,8.0,5.0,11.0,7.0,3.0,no
4.0,1.0,1.0,1.0,8.0,16.0,0.86,1.17,13.71,18.67,0.01,1.04,2.0,0.0,0.0,0.0,1.0,3.0,1.0,7.0,1.0,no
112.0,19.0,11.0,15.0,348.0,2206.27,0.04,24.75,89.13,54614.17,0.74,3034.12,93.0,2.0,10.0,5.0,20.0,61.0,197.0,151.0,37.0,yes
20.0,2.0,1.0,2.0,33.0,137.61,0.17,6.0,22.93,825.65,0.05,45.87,16.0,0.0,1.0,0.0,9.0,9.0,21.0,12.0,3.0,no
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,no
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,no
10.0,2.0,1.0,2.0,18.0,64.53,0.14,7.0,9.22,451.71,0.02,25.09,8.0,0.0,0.0,0.0,8.0,4.0,11.0,7.0,3.0,no
29.0,3.0,1.0,3.0,72.0,305.85,0.09,10.8,28.32,3303.19,0.1,183.51,23.0,2.0,2.0,0.0,9.0,10.0,48.0,24.0,5.0,no
18.0,2.0,1.0,2.0,42.0,187.3,0.13,7.5,24.97,1404.72,0.06,78.04,13.0,1.0,2.0,0.0,10.0,12.0,24.0,18.0,3.0,no
11.0,2.0,1.0,2.0,17.0,60.94,0.17,6.0,10.16,365.67,0.02,20.31,8.0,0.0,1.0,0.0,8.0,4.0,11.0,6.0,3.0,no
41.0,8.0,7.0,7.0,105.0,534.18,0.05,21.38,24.99,11418.17,0.18,634.34,31.0,1.0,5.0,2.0,18.0,16.0,67.0,38.0,15.0,no
101.0,11.0,4.0,8.0,309.0,1900.27,0.04,22.42,84.78,42594.77,0.63,2366.38,84.0,1.0,12.0,0.0,18.0,53.0,177.0,132.0,21.0,yes
11.0,2.0,1.0,2.0,18.0,64.53,0.14,7.0,9.22,451.71,0.02,25.09,7.0,0.0,1.0,1.0,8.0,4.0,11.0,7.0,3.0,no
1275.0,180.0,125.0,143.0,3982.0,33814.56,0.01,81.47,415.06,2147483.64,11.27,153047.01,1107.0,39.0,121.0,6.0,35.0,325.0,2469.0,1513.0,361.0,yes
39.0,7.0,1.0,4.0,89.0,418.34,0.08,13.29,31.49,5557.93,0.14,308.77,34.0,0.0,3.0,0.0,12.0,14.0,58.0,31.0,13.0,yes
3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no
8.0,1.0,1.0,1.0,10.0,30.0,0.3,3.33,9.0,100.0,0.01,5.56,4.0,0.0,1.0,0.0,5.0,3.0,6.0,4.0,1.0,yes
4.0,1.0,1.0,1.0,6.0,15.51,0.4,2.5,6.2,38.77,0.01,2.15,2.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,1.0,no
7.0,1.0,1.0,1.0,13.0,36.5,0.2,5.0,7.3,182.48,0.01,10.14,5.0,0.0,0.0,0.0,5.0,2.0,9.0,4.0,1.0,no
28.0,2.0,1.0,2.0,130.0,677.23,0.1,10.15,66.7,6876.48,0.23,382.03,21.0,1.0,3.0,0.0,11.0,26.0,82.0,48.0,3.0,no
227.0,27.0,7.0,16.0,596.0,3869.14,0.03,30.14,128.36,116627.07,1.29,6479.28,168.0,21.0,30.0,4.0,20.0,70.0,385.0,211.0,53.0,yes
11.0,2.0,1.0,2.0,27.0,102.8,0.15,6.67,15.42,685.32,0.03,38.07,9.0,0.0,0.0,0.0,8.0,6.0,17.0,10.0,3.0,no
6.0,1.0,1.0,1.0,15.0,49.83,0.43,2.33,21.36,116.27,0.02,6.46,4.0,0.0,0.0,0.0,4.0,6.0,8.0,7.0,1.0,no
11.0,3.0,1.0,2.0,34.0,151.62,0.14,7.2,21.06,1091.67,0.05,60.65,9.0,0.0,0.0,0.0,12.0,10.0,22.0,12.0,5.0,yes
46.0,9.0,6.0,7.0,132.0,707.2,0.07,13.48,52.46,9534.06,0.24,529.67,39.0,3.0,2.0,0.0,14.0,27.0,80.0,52.0,17.0,no
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,no
6.0,1.0,1.0,1.0,15.0,49.83,0.43,2.33,21.36,116.27,0.02,6.46,4.0,0.0,0.0,0.0,4.0,6.0,8.0,7.0,1.0,no
16.0,2.0,1.0,2.0,23.0,87.57,0.14,7.2,12.16,630.5,0.03,35.03,12.0,0.0,2.0,0.0,9.0,5.0,15.0,8.0,3.0,no
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,no
94.0,20.0,17.0,15.0,279.0,1613.0,0.05,20.72,77.86,33418.04,0.54,1856.56,75.0,7.0,8.0,0.0,16.0,39.0,178.0,101.0,39.0,yes
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,no
31.0,5.0,1.0,3.0,167.0,863.38,0.05,18.25,47.31,15756.64,0.29,875.37,51.0,0.0,14.0,0.0,11.0,13.0,47.0,29.0,9.0,no
47.0,5.0,4.0,4.0,59.0,273.99,0.07,13.36,20.5,3661.47,0.09,203.41,19.0,3.0,5.0,0.0,16.0,23.0,69.0,49.0,5.0,no
4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2.0,0.0,0.0,0.0,5.0,2.0,5.0,2.0,1.0,no
9.0,1.0,1.0,1.0,13.0,41.21,0.25,4.0,10.3,164.84,0.01,9.16,3.0,2.0,2.0,0.0,6.0,3.0,9.0,4.0,1.0,no
88.0,10.0,6.0,6.0,198.0,1123.14,0.06,17.83,63.0,20023.99,0.37,1112.44,66.0,7.0,11.0,0.0,16.0,35.0,120.0,78.0,19.0,yes
30.0,6.0,5.0,4.0,72.0,346.13,0.07,14.0,24.72,4845.81,0.12,269.21,20.0,2.0,5.0,0.0,14.0,14.0,44.0,28.0,11.0,no
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,no
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,no
4.0,1.0,1.0,1.0,6.0,15.51,0.0,0.0,0.0,0.0,0.01,0.0,2.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,no
33.0,6.0,4.0,4.0,84.0,412.18,0.05,18.29,22.54,7536.98,0.14,418.72,26.0,2.0,3.0,0.0,16.0,14.0,52.0,32.0,11.0,no
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,no
15.0,1.0,1.0,1.0,55.0,224.81,0.17,5.73,39.25,1287.55,0.07,71.53,12.0,0.0,1.0,0.0,6.0,11.0,34.0,21.0,1.0,no
18.0,2.0,1.0,2.0,41.0,167.59,0.13,7.88,21.28,1319.74,0.06,73.32,12.0,0.0,2.0,0.0,9.0,8.0,27.0,14.0,3.0,no
6.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,3.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0,1.0,no
43.0,6.0,5.0,5.0,106.0,564.12,0.04,22.5,25.07,12692.8,0.19,705.16,32.0,0.0,9.0,0.0,20.0,20.0,61.0,45.0,11.0,yes
7.0,1.0,1.0,1.0,10.0,30.0,0.3,3.33,9.0,100.0,0.01,5.56,4.0,0.0,0.0,0.0,5.0,3.0,6.0,4.0,1.0,no
49.0,4.0,1.0,4.0,126.0,618.27,0.06,16.67,37.1,10304.47,0.21,572.47,39.0,2.0,5.0,0.0,12.0,18.0,76.0,50.0,7.0,yes
30.0,2.0,1.0,2.0,63.0,292.56,0.1,9.82,29.79,2873.39,0.1,159.63,19.0,1.0,8.0,0.0,11.0,14.0,38.0,25.0,3.0,no
21.0,2.0,1.0,2.0,62.0,280.46,0.12,8.46,33.15,2373.13,0.09,131.84,16.0,0.0,3.0,0.0,10.0,13.0,40.0,22.0,3.0,no
30.0,6.0,1.0,3.0,63.0,276.72,0.13,8.0,34.59,2213.73,0.09,122.98,20.0,3.0,4.0,1.0,8.0,13.0,37.0,26.0,11.0,no
16.0,4.0,3.0,2.0,51.0,247.76,0.11,8.94,27.72,2214.33,0.08,123.02,13.0,0.0,0.0,1.0,13.0,16.0,29.0,22.0,7.0,no
45.0,9.0,1.0,4.0,197.0,1158.88,0.04,23.33,49.67,27040.55,0.39,1502.25,36.0,2.0,4.0,1.0,20.0,39.0,106.0,91.0,17.0,yes
11.0,1.0,1.0,1.0,13.0,36.5,0.4,2.5,14.6,91.24,0.01,5.07,4.0,3.0,2.0,0.0,5.0,2.0,11.0,2.0,1.0,no
140.0,22.0,17.0,18.0,421.0,2597.54,0.02,43.8,59.3,113783.48,0.87,6321.3,115.0,12.0,10.0,1.0,26.0,46.0,266.0,155.0,43.0,yes
29.0,1.0,1.0,1.0,73.0,354.63,0.11,9.17,38.69,3250.8,0.12,180.6,20.0,0.0,7.0,0.0,11.0,18.0,43.0,30.0,1.0,yes
60.0,5.0,1.0,5.0,115.0,594.54,0.08,13.28,44.76,7897.06,0.2,438.73,44.0,3.0,9.0,0.0,13.0,23.0,68.0,47.0,9.0,no
28.0,2.0,1.0,2.0,59.0,263.11,0.1,10.0,26.31,2631.06,0.09,146.17,18.0,0.0,6.0,0.0,10.0,12.0,35.0,24.0,3.0,no
42.0,4.0,1.0,3.0,78.0,393.46,0.08,12.53,31.41,4928.64,0.13,273.81,23.0,5.0,9.0,1.0,14.0,19.0,44.0,34.0,7.0,yes
82.0,10.0,1.0,10.0,220.0,1178.66,0.07,15.03,78.4,17719.21,0.39,984.4,73.0,0.0,7.0,0.0,11.0,30.0,138.0,82.0,19.0,no
60.0,7.0,4.0,6.0,173.0,986.18,0.04,23.83,41.38,23503.86,0.33,1305.77,54.0,1.0,3.0,0.0,22.0,30.0,108.0,65.0,13.0,no
28.0,4.0,1.0,4.0,59.0,241.16,0.07,13.57,17.77,3272.89,0.08,181.83,22.0,1.0,3.0,0.0,10.0,7.0,40.0,19.0,7.0,no
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,no
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,no
10.0,5.0,1.0,1.0,33.0,118.3,0.14,7.0,16.9,828.13,0.04,46.01,6.0,0.0,1.0,0.0,7.0,5.0,23.0,10.0,9.0,no
20.0,2.0,1.0,2.0,54.0,244.27,0.12,8.08,30.24,1972.97,0.08,109.61,15.0,0.0,2.0,0.0,10.0,13.0,33.0,21.0,3.0,no
6.0,1.0,1.0,1.0,11.0,34.87,0.29,3.5,9.96,122.04,0.01,6.78,4.0,0.0,0.0,0.0,7.0,2.0,9.0,2.0,1.0,no
188.0,8.0,4.0,5.0,509.0,3451.71,0.05,19.1,180.68,65942.86,1.15,3663.49,136.0,9.0,40.0,0.0,19.0,91.0,326.0,183.0,15.0,no
94.0,12.0,5.0,7.0,250.0,1494.32,0.04,23.32,64.08,34844.83,0.5,1935.82,69.0,9.0,12.0,2.0,19.0,44.0,142.0,108.0,23.0,no
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,no
19.0,4.0,1.0,1.0,44.0,176.0,0.09,11.57,15.21,2036.57,0.06,113.14,15.0,0.0,1.0,0.0,9.0,7.0,26.0,18.0,7.0,no
21.0,2.0,1.0,2.0,33.0,134.89,0.14,7.14,18.88,963.47,0.04,53.53,15.0,1.0,2.0,0.0,10.0,7.0,23.0,10.0,3.0,no
13.0,2.0,1.0,2.0,26.0,110.45,0.12,8.25,13.39,911.18,0.04,50.62,9.0,1.0,1.0,0.0,11.0,8.0,14.0,12.0,3.0,no
12.0,3.0,1.0,2.0,29.0,120.93,0.17,6.0,20.15,725.57,0.04,40.31,9.0,0.0,1.0,0.0,9.0,9.0,17.0,12.0,5.0,no
7.0,1.0,1.0,1.0,13.0,36.5,0.2,5.0,7.3,182.48,0.01,10.14,5.0,0.0,0.0,0.0,5.0,2.0,9.0,4.0,1.0,no
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,no
110.0,12.0,10.0,12.0,313.0,1825.69,0.04,24.0,76.07,43816.67,0.61,2434.26,88.0,3.0,15.0,0.0,16.0,41.0,190.0,123.0,23.0,yes
5.0,1.0,1.0,1.0,5.0,11.61,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,no
2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,no
56.0,4.0,1.0,4.0,102.0,523.19,0.07,14.25,36.71,7455.41,0.17,414.19,41.0,3.0,3.0,0.0,15.0,20.0,64.0,38.0,7.0,no
36.0,5.0,1.0,2.0,103.0,548.16,0.09,11.07,49.5,6070.35,0.18,337.24,26.0,0.0,5.0,1.0,13.0,27.0,57.0,46.0,9.0,yes
241.0,20.0,4.0,20.0,619.0,4008.48,0.02,54.62,73.38,218954.95,1.34,12164.16,161.0,43.0,34.0,0.0,28.0,61.0,381.0,238.0,39.0,no
8.0,1.0,1.0,1.0,10.0,30.0,0.3,3.33,9.0,100.0,0.01,5.56,4.0,0.0,1.0,0.0,5.0,3.0,6.0,4.0,1.0,no
6.0,1.0,1.0,1.0,11.0,33.0,0.22,4.5,7.33,148.5,0.01,8.25,4.0,0.0,0.0,0.0,6.0,2.0,8.0,3.0,1.0,no
7.0,1.0,1.0,1.0,11.0,34.87,0.36,2.8,12.45,97.63,0.01,5.42,5.0,0.0,0.0,0.0,2.0,12.0,10.0,13.0,1.0,no
3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,no
88.0,8.0,4.0,6.0,244.0,1416.99,0.07,15.27,92.81,21633.88,0.47,1201.88,67.0,3.0,11.0,0.0,13.0,43.0,143.0,101.0,15.0,no
4.0,1.0,1.0,1.0,23.0,87.57,0.92,1.08,80.83,94.87,0.03,5.27,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no
64.0,5.0,1.0,5.0,189.0,1005.84,0.06,15.64,64.3,15734.28,0.34,874.13,50.0,0.0,7.0,0.0,12.0,28.0,116.0,73.0,9.0,no
9.0,1.0,1.0,1.0,10.0,30.0,0.3,3.33,9.0,100.0,0.01,5.56,4.0,0.0,2.0,0.0,5.0,3.0,6.0,4.0,1.0,no
14.0,3.0,1.0,2.0,49.0,211.77,0.12,8.5,24.91,1800.08,0.07,100.0,10.0,0.0,1.0,1.0,10.0,10.0,32.0,17.0,5.0,no
8.0,2.0,1.0,2.0,21.0,77.71,0.29,3.43,22.67,266.43,0.03,14.8,6.0,0.0,0.0,0.0,6.0,7.0,13.0,8.0,3.0,no
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,no
11.0,2.0,1.0,2.0,19.0,68.11,0.14,7.0,9.73,476.8,0.02,26.49,8.0,0.0,1.0,0.0,8.0,4.0,12.0,7.0,3.0,no
10.0,2.0,1.0,1.0,17.0,58.81,0.16,6.13,9.6,360.21,0.02,20.01,8.0,0.0,0.0,0.0,7.0,4.0,10.0,7.0,3.0,no
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,no
43.0,4.0,3.0,4.0,93.0,437.14,0.09,11.56,37.81,5054.44,0.15,280.8,30.0,1.0,9.0,1.0,10.0,16.0,56.0,37.0,7.0,no
6.0,1.0,1.0,1.0,9.0,25.27,0.67,1.5,16.84,37.9,0.01,2.11,4.0,0.0,0.0,0.0,3.0,4.0,5.0,4.0,1.0,no
